Season,Club,MP,W,D,L,GF,GA,GD,Pts,Total Comp.,Total Att, Short Cmp%,TotDist,PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,KP,Ent. Final Third,Ent. Opposing PA,Cross into PA,Prog 10+ yards
2017/18,Augsburg,34,10,11,13,43,46,-3,41,10179,14251,71.4,219096,88617,3627,4483,80.9,4284,5367,79.8,2116,3888,54.4,312,856,263,110,1069
2017/18,Bayern Munich,34,27,3,4,92,28,64,84,20441,23840,85.7,398949,119150,8197,9030,90.8,8974,10005,89.7,3042,4271,71.2,462,1705,462,112,1710
2017/18,Dortmund,34,15,10,9,64,47,17,55,16586,20322,81.6,316583,100510,6657,7606,87.5,7466,8554,87.3,2242,3633,61.7,342,1302,337,68,1418
2017/18,Eint Frankfurt,34,14,7,13,45,45,0,49,11441,15528,73.7,248227,92580,3763,4610,81.6,5261,6456,81.5,2263,3957,57.2,273,931,275,81,1187
2017/18,Freiburg,34,8,12,14,32,56,-24,36,11014,14766,74.6,230802,86384,3870,4751,81.5,5146,6113,84.2,1825,3387,53.9,263,821,208,64,1030
2017/18,Hamburger SV,34,8,7,19,29,53,-24,31,10768,15037,71.6,219771,83045,4062,4995,81.3,4624,5875,78.7,1896,3519,53.9,263,881,249,84,1118
2017/18,Hannover 96,34,10,9,15,44,54,-10,39,10882,14890,73.1,221155,91148,4006,4929,81.3,4817,5966,80.7,1869,3408,54.8,307,807,208,79,1113
2017/18,Hertha BSC,34,10,13,11,43,46,-3,43,11673,15389,75.9,237392,85240,4535,5391,84.1,4949,5949,83.2,2025,3532,57.3,224,815,176,64,982
2017/18,Hoffenheim,34,15,10,9,66,48,18,55,13769,17276,79.7,273134,97750,5191,5995,86.6,6362,7277,87.4,2029,3492,58.1,355,988,301,71,1364
2017/18,Köln,34,5,7,22,35,70,-35,22,11700,15704,74.5,242131,94026,4414,5329,82.8,5086,6120,83.1,2062,3788,54.4,275,1036,247,66,1209
2017/18,Leverkusen,34,15,10,9,58,44,14,55,14642,18413,79.5,282222,98199,6112,7090,86.2,6171,7242,85.2,2139,3482,61.4,378,1140,324,92,1414
2017/18,M'Gladbach,34,13,8,13,47,52,-5,47,14496,17948,80.8,284546,94880,5498,6335,86.8,6738,7638,88.2,2062,3406,60.5,323,1040,268,58,1241
2017/18,Mainz 05,34,9,9,16,38,52,-14,36,10117,13929,72.6,212928,80582,3707,4553,81.4,4398,5444,80.8,1866,3471,53.8,293,818,216,57,1064
2017/18,RB Leipzig,34,15,8,11,57,53,4,53,14201,18205,78,261551,98862,6352,7437,85.4,5805,6994,83,1806,3163,57.1,364,1145,315,50,1432
2017/18,Schalke 04,34,18,9,7,53,37,16,63,12031,15577,77.2,238796,83418,4473,5276,84.8,5741,6750,85.1,1695,3137,54,304,763,219,62,1003
2017/18,Stuttgart,34,15,6,13,36,36,0,51,12101,16046,75.4,248706,87143,4527,5323,85,5322,6386,83.3,2117,3869,54.7,235,852,210,70,987
2017/18,Werder Bremen,34,10,12,12,37,40,-3,42,12071,16061,75.2,250402,92840,4356,5266,82.7,5416,6565,82.5,2137,3657,58.4,318,978,264,89,1250
2017/18,Wolfsburg,34,6,15,13,36,48,-12,33,12757,16363,78,264609,92068,4560,5336,85.5,5808,6825,85.1,2250,3776,59.6,245,938,208,66,1097
2018/19,Augsburg,34,8,8,18,51,71,-20,32,11138,15094,73.8,230933,88336,4171,5100,81.8,4838,5888,82.2,2007,3638,55.2,311,815,274,90,1140
2018/19,Bayern Munich,34,24,6,4,88,32,56,78,20506,23861,85.9,409832,120093,7562,8384,90.2,9485,10466,90.6,3252,4450,73.1,454,1730,474,96,1794
2018/19,Dortmund,34,23,7,4,81,44,37,76,18845,22100,85.3,346448,104095,8226,9193,89.5,7939,8831,89.9,2366,3431,69,327,1341,314,55,1346
2018/19,Düsseldorf,34,13,5,16,49,65,-16,44,11146,14589,76.4,240306,89614,3907,4652,84,4863,5827,83.5,2240,3666,61.1,309,898,246,79,1137
2018/19,Eint Frankfurt,34,15,9,10,60,48,12,54,10628,14853,71.6,222696,93232,3987,4965,80.3,4562,5855,77.9,1923,3551,54.2,287,950,261,82,1187
2018/19,Freiburg,34,8,12,14,46,61,-15,36,11490,14967,76.8,247151,85697,3709,4402,84.3,5386,6313,85.3,2207,3757,58.7,291,800,218,75,931
2018/19,Hannover 96,34,5,6,23,31,71,-40,21,11428,15090,75.7,236845,89112,4148,4935,84.1,5092,6109,83.4,2025,3528,57.4,269,826,228,59,1033
2018/19,Hertha BSC,34,11,10,13,49,57,-8,43,12472,16161,77.2,255193,96580,4794,5664,84.6,5433,6450,84.2,2084,3603,57.8,299,916,235,74,1107
2018/19,Hoffenheim,34,13,12,9,70,52,18,51,14499,17950,80.8,285552,102912,5640,6435,87.6,6442,7457,86.4,2232,3527,63.3,450,1200,371,102,1424
2018/19,Leverkusen,34,18,4,12,69,52,17,58,18327,22030,83.2,347484,111744,7623,8639,88.2,7899,8929,88.5,2508,3739,67.1,370,1261,367,93,1536
2018/19,M'Gladbach,34,16,7,11,55,42,13,55,15778,19034,82.9,326244,98844,5114,5867,87.2,7986,8897,89.8,2539,3823,66.4,329,1144,308,70,1350
2018/19,Mainz 05,34,12,7,15,46,57,-11,43,11555,15264,75.7,241905,88492,4317,5125,84.2,4930,5920,83.3,2170,3766,57.6,343,981,289,89,1153
2018/19,Nürnberg,34,3,10,21,26,68,-42,19,10598,14082,75.3,220798,80833,3813,4564,83.5,4873,5779,84.3,1779,3331,53.4,229,763,177,44,912
2018/19,RB Leipzig,34,19,9,6,63,29,34,66,12507,16647,75.1,231627,95135,5747,6882,83.5,4829,6085,79.4,1685,3080,54.7,372,1121,365,87,1451
2018/19,Schalke 04,34,8,9,17,37,55,-18,33,10900,14430,75.5,229525,82400,3751,4570,82.1,4985,5896,84.5,2018,3532,57.1,297,832,240,53,1073
2018/19,Stuttgart,34,7,7,20,32,70,-38,28,11309,15160,74.6,230295,83888,4281,5106,83.8,4941,5965,82.8,1942,3612,53.8,304,834,251,94,1006
2018/19,Werder Bremen,34,14,11,9,58,49,9,53,14504,18269,79.4,290395,101443,5481,6407,85.5,6548,7659,85.5,2291,3646,62.8,332,1194,330,97,1483
2018/19,Wolfsburg,34,16,7,11,62,50,12,55,13200,17041,77.5,300330,97902,3894,4759,81.8,6153,7279,84.5,3025,4512,67,292,985,298,85,1283
2019/20,Augsburg,34,9,9,16,45,63,-18,36,8618,12212,70.6,182208,70959,3135,3850,81.4,3674,4547,80.8,1620,3209,50.5,241,567,170,45,761
2019/20,Bayern Munich,34,26,4,4,100,32,68,82,20739,24240,85.6,413561,128617,7694,8577,89.7,9583,10575,90.6,3186,4363,73,474,1780,510,128,1966
2019/20,Dortmund,34,21,6,7,84,41,43,69,20781,24010,86.6,385238,111587,8997,9861,91.2,8870,9720,91.3,2559,3620,70.7,347,1275,329,54,1465
2019/20,Düsseldorf,34,6,12,16,36,67,-31,30,11476,15049,76.3,251262,89850,3859,4602,83.9,5067,5988,84.6,2359,3882,60.8,291,870,222,79,1064
2019/20,Eint Frankfurt,34,13,6,15,59,60,-1,45,12408,16463,75.4,256791,97578,4513,5397,83.6,5536,6710,82.5,2150,3670,58.6,361,1015,279,118,1240
2019/20,Freiburg,34,13,9,12,48,47,1,48,12120,15509,78.1,259581,89102,3971,4675,84.9,5747,6619,86.8,2192,3605,60.8,301,829,244,97,968
2019/20,Hertha BSC,34,11,8,15,48,59,-11,41,11480,14845,77.3,248991,86426,3900,4553,85.7,5056,5980,84.5,2324,3712,62.6,267,823,186,74,927
2019/20,Hoffenheim,34,15,7,12,53,53,0,52,14589,17961,81.2,285819,98104,5622,6348,88.6,6728,7601,88.5,2012,3372,59.7,334,894,276,86,1162
2019/20,Köln,34,10,6,18,51,69,-18,36,11292,14923,75.7,246594,93043,3709,4439,83.6,5144,6148,83.7,2286,3818,59.9,294,824,264,86,1061
2019/20,Leverkusen,34,19,6,9,61,44,17,63,19160,22816,84,375504,114250,7282,8112,89.8,8742,9752,89.6,2820,4155,67.9,383,1164,263,64,1371
2019/20,M'Gladbach,34,20,5,9,66,40,26,65,14479,17921,80.8,288968,97674,5456,6275,86.9,6541,7520,87,2262,3484,64.9,345,890,284,68,1236
2019/20,Mainz 05,34,11,4,19,44,65,-21,37,10302,13844,74.4,216629,82374,3786,4476,84.6,4398,5365,82,1935,3453,56,327,821,242,69,1031
2019/20,Paderborn 07,34,4,8,22,37,74,-37,20,11645,15062,77.3,246297,86705,3980,4752,83.8,5347,6244,85.6,2152,3431,62.7,294,791,153,45,952
2019/20,RB Leipzig,34,18,12,4,81,37,44,66,16395,19986,82,305970,105197,6886,7805,88.2,7094,8074,87.9,2073,3259,63.6,415,1250,366,71,1581
2019/20,Schalke 04,34,9,12,13,38,58,-20,39,12189,15680,77.7,250577,85006,4392,5112,85.9,5476,6416,85.3,2105,3489,60.3,269,829,228,51,1104
2019/20,Union Berlin,34,12,5,17,41,58,-17,41,9503,13395,70.9,202883,87921,3545,4358,81.3,3841,4844,79.3,1907,3571,53.4,260,793,191,73,901
2019/20,Werder Bremen,34,8,7,19,42,69,-27,31,12979,16581,78.3,260600,90656,4973,5759,86.4,5668,6622,85.6,2125,3530,60.2,311,921,249,75,1185
2019/20,Wolfsburg,34,13,10,11,48,46,2,49,11716,15547,75.4,251266,92108,4026,4863,82.8,5167,6249,82.7,2312,3777,61.2,333,915,253,79,1227
2020/21,Arminia,34,9,8,17,26,52,-26,35,10707,14526,73.7,238317,88076,3491,4253,82.1,4832,5841,82.7,2211,3870,57.1,224,728,191,45,818
2020/21,Augsburg,34,10,6,18,36,54,-18,36,10430,14074,74.1,216254,79244,3848,4588,83.9,4568,5513,82.9,1838,3364,54.6,238,669,197,56,883
2020/21,Bayern Munich,34,24,6,4,99,44,55,78,18505,21940,84.3,370450,115232,6924,7782,89,8410,9378,89.7,2901,4061,71.4,444,1603,471,112,1743
2020/21,Dortmund,34,20,4,10,75,46,29,64,18983,22343,85,370199,109874,7546,8442,89.4,8323,9219,90.3,2807,3928,71.5,374,1293,422,62,1528
2020/21,Eint Frankfurt,34,16,12,6,69,53,16,60,14409,18416,78.2,281703,102287,5721,6632,86.3,6353,7489,84.8,2089,3578,58.4,351,1087,309,110,1421
2020/21,Freiburg,34,12,9,13,52,52,0,45,12336,15907,77.6,262645,91002,4099,4824,85,5827,6768,86.1,2227,3704,60.1,285,828,255,89,1076
2020/21,Hertha BSC,34,8,11,15,41,52,-11,35,12623,16027,78.8,278139,88471,3797,4508,84.2,6060,6944,87.3,2609,4017,64.9,276,846,232,72,1047
2020/21,Hoffenheim,34,11,10,13,52,54,-2,43,14462,18016,80.3,291188,99858,5356,6153,87,6515,7469,87.2,2304,3636,63.4,313,1061,342,99,1337
2020/21,Köln,34,8,9,17,34,60,-26,33,12038,15705,76.7,251568,91402,4229,5011,84.4,5315,6263,84.9,2223,3735,59.5,253,829,225,84,985
2020/21,Leverkusen,34,14,10,10,53,39,14,52,18002,21523,83.6,361120,109753,6668,7431,89.7,8174,9110,89.7,2901,4305,67.4,347,1228,288,76,1344
2020/21,M'Gladbach,34,13,10,11,64,56,8,49,15337,18808,81.5,292692,97134,6331,7156,88.5,6632,7619,87,2094,3321,63.1,323,960,269,60,1259
2020/21,Mainz 05,34,10,9,15,39,56,-17,39,9679,13642,71,196417,77998,3595,4448,80.8,4252,5374,79.1,1628,3160,51.5,272,713,223,63,981
2020/21,RB Leipzig,34,19,8,7,60,32,28,65,17673,21371,82.7,328704,106196,7379,8336,88.5,7779,8853,87.9,2171,3386,64.1,408,1410,410,79,1588
2020/21,Schalke 04,34,3,7,24,25,86,-61,16,11269,14667,76.8,228703,78197,4114,4876,84.4,5087,5947,85.5,1862,3223,57.8,217,655,185,30,890
2020/21,Stuttgart,34,12,9,13,56,55,1,45,14259,17721,80.5,272821,97283,5716,6528,87.6,6379,7321,87.1,1879,3145,59.7,342,985,301,73,1271
2020/21,Union Berlin,34,12,14,8,50,43,7,50,12041,15867,75.9,249391,87774,4451,5250,84.8,5188,6230,83.3,2183,3736,58.4,283,801,205,85,995
2020/21,Werder Bremen,34,7,10,17,36,57,-21,31,11769,15388,76.5,237260,86011,4561,5418,84.2,5158,6147,83.9,1894,3281,57.7,246,805,204,77,976
2020/21,Wolfsburg,34,17,10,7,61,37,24,61,13255,17140,77.3,284266,93118,4331,5249,82.5,6167,7271,84.8,2553,3980,64.1,345,993,297,78,1286